0,2058586.4141847226
1,2046007.240536875
2,1925444.4935719878
3,1728861.9848823848
4,1967321.8890559708
5,2022037.9056462701
6,2010947.8187913923
7,2022621.0962026115
8,2006047.9387707696
9,1882147.4277821889
10,1683027.6513061232
11,1919869.7558736338
12,1973977.1536868676
13,1907055.2633083945
14,1843743.5224384894
15,1829795.6079132752
16,1626752.4760373451
17,1607833.9271455454
18,1890141.56812831
19,1950386.0846768483
20,1946422.0302090433
21,1966658.095847637
22,1959874.9771956638
23,1846739.6990853576
24,1659073.2782468214
25,1907743.4406889963
26,1973723.3600797893
27,1974671.2896898042
28,1998846.5136850213
29,1782390.8252048308
